date,doses,cost
11/1/1991,11440,2.69
11/2/1991,13964,2.21
11/3/1991,9504,2.54
11/4/1991,12505,2.08
11/5/1991,8320,2.45
11/6/1991,12088,2.76
11/7/1991,7835,2.23
11/8/1991,11831,2.49
11/9/1991,10030,2.55
11/10/1991,12293,2.94
11/11/1991,10198,2.69
11/12/1991,10709,2.16
11/13/1991,8126,2.55
11/14/1991,12764,2.37
11/15/1991,12136,2.62
11/16/1991,8927,2.03
11/17/1991,11621,2.61
11/18/1991,10763,2.99
11/19/1991,11853,2.04
11/20/1991,12832,2.14
11/21/1991,10902,2.77
11/22/1991,9432,2.91
11/23/1991,13630,2.09
11/24/1991,11982,2.84
11/25/1991,12927,2.77
11/26/1991,13142,2.88
11/27/1991,9086,2.57
11/28/1991,11447,2.93
11/29/1991,13775,2.04
11/30/1991,11382,2.29
12/1/1991,14030,2.43
12/2/1991,11119,2.34
12/3/1991,11237,2.61
12/4/1991,11682,2.2
12/5/1991,10828,2.7
12/6/1991,13933,2.09
12/7/1991,13557,2.49
12/8/1991,11772,2.05
12/9/1991,12774,2.47
12/10/1991,8354,2.17
12/11/1991,12976,2.28
12/12/1991,10772,2.09
12/13/1991,9732,2.43
12/14/1991,8061,2.23
12/15/1991,13895,2.64
12/16/1991,13623,2.37
12/17/1991,14206,2.63
12/18/1991,13658,2.9
12/19/1991,12341,2.92
12/20/1991,13404,2.95
12/21/1991,10548,2.2
12/22/1991,9796,2.42
12/23/1991,8635,2.84
12/24/1991,13450,2.87
12/25/1991,10435,2.1
12/26/1991,10006,2.63
12/27/1991,8900,2.15
12/28/1991,11238,2.66
12/29/1991,9310,2.89
12/30/1991,13434,2.55
12/31/1991,13161,2.33
1/1/1992,13417,2.34
1/2/1992,11256,2.35
1/3/1992,12155,2.34
1/4/1992,13200,2.55
1/5/1992,9147,2.6
1/6/1992,9833,2.59
1/7/1992,13606,2.81
1/8/1992,9382,2.42
1/9/1992,9516,2.97
1/10/1992,13751,2.21
1/11/1992,12059,2.5
1/12/1992,12179,2.03
1/13/1992,9914,2.41
1/14/1992,14277,2.86
1/15/1992,7962,2.42
1/16/1992,10245,2.49
1/17/1992,12845,2.62
1/18/1992,8843,2.78
1/19/1992,11842,2.14
1/20/1992,12304,2.31
1/21/1992,9420,2.18
1/22/1992,12474,2
1/23/1992,9463,2.38
1/24/1992,13724,2.79
1/25/1992,10447,2.24
1/26/1992,12323,2.5
1/27/1992,10707,2.94
1/28/1992,8798,2.09
1/29/1992,12732,2.38
1/30/1992,9438,2.42
1/31/1992,14216,2.89
2/1/1992,11478,2.5
2/2/1992,12245,2.78
2/3/1992,12122,2.31
2/4/1992,14252,2.53
2/5/1992,13947,2.22
2/6/1992,13471,2.86
2/7/1992,12272,2.88
2/8/1992,10644,2.77
2/9/1992,11548,2.88
2/10/1992,13644,2.13
2/11/1992,11768,2.35
2/12/1992,11180,2.42
2/13/1992,11947,2.79
2/14/1992,7772,2.99
2/15/1992,11073,2.1
2/16/1992,9679,2.26
2/17/1992,8162,2.59
2/18/1992,9011,2.71
2/19/1992,11015,2.68
2/20/1992,11599,2.39
2/21/1992,13444,2.74
2/22/1992,13952,2.22
2/23/1992,9474,2.37
2/24/1992,14189,2.59
2/25/1992,10378,2.77
2/26/1992,10340,2.9
2/27/1992,9337,2.62
2/28/1992,9937,2.08
2/29/1992,13976,2.88
3/1/1992,11372,2.16
3/2/1992,10996,2.82
3/3/1992,8248,2.51
3/4/1992,14070,2.63
3/5/1992,8806,2.81
3/6/1992,8761,2.23
3/7/1992,8212,2.09
3/8/1992,13582,2.53
3/9/1992,9695,2.03
3/10/1992,12896,2.2
3/11/1992,13403,2.52
3/12/1992,12314,2.25
3/13/1992,7841,2
3/14/1992,12067,2.34
3/15/1992,11288,2.34
3/16/1992,11531,2.67
3/17/1992,7841,2.5
3/18/1992,8031,2.54
3/19/1992,8050,2.87
3/20/1992,13278,2.71
3/21/1992,9525,2.79
3/22/1992,9877,2.67
3/23/1992,12681,2.87
3/24/1992,8406,2.92
3/25/1992,10245,2.68
3/26/1992,13342,2.33
