Year,Region,Demand
2024,Downtown Toronto,249581
2024,East York,172730
2024,Etobicoke,285764
2024,Mississauga East,255427
2024,North Toronto,263276
2024,North York,316579
2024,Scarborough East,281067
2025,Downtown Toronto,262099
2025,East York,180925
2025,Etobicoke,300093
2025,Mississauga East,268385
2025,North Toronto,276262
2025,North York,332967
2025,Scarborough East,294825
2026,Downtown Toronto,275303
2026,East York,190090
2026,Etobicoke,315534
2026,Mississauga East,281839
2026,North Toronto,289976
2026,North York,349748
2026,Scarborough East,309148
2027,Downtown Toronto,288823
2027,East York,199759
2027,Etobicoke,331551
2027,Mississauga East,296252
2027,North Toronto,304239
2027,North York,367578
2027,Scarborough East,324078
2028,Downtown Toronto,302692
2028,East York,209598
2028,Etobicoke,348169
2028,Mississauga East,310699
2028,North Toronto,318926
2028,North York,386781
2028,Scarborough East,340914
2029,Downtown Toronto,317722
2029,East York,220554
2029,Etobicoke,365732
2029,Mississauga East,326359
2029,North Toronto,334929
2029,North York,406842
2029,Scarborough East,357786
2030,Downtown Toronto,333657
2030,East York,231261
2030,Etobicoke,384141
2030,Mississauga East,342453
2030,North Toronto,351541
2030,North York,426787
2030,Scarborough East,375518
2031,Downtown Toronto,350751
2031,East York,242835
2031,Etobicoke,403922
2031,Mississauga East,359278
2031,North Toronto,368544
2031,North York,448531
2031,Scarborough East,393824
2032,Downtown Toronto,368710
2032,East York,254931
2032,Etobicoke,424035
2032,Mississauga East,377033
2032,North Toronto,387142
2032,North York,470890
2032,Scarborough East,413821
2033,Downtown Toronto,387003
2033,East York,268068
2033,Etobicoke,445369
2033,Mississauga East,395768
2033,North Toronto,406148
2033,North York,494386
2033,Scarborough East,433845
